Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
11-June-2025,869.65,879.40,863.25,868.60,870.484629855898838269,51561,2079,44883058.00,17159,33.28,16.15,-1.05
10-June-2025,878.50,882.85,864.85,867.10,870.756890671091445427,86784,2455,75567766.00,27514,31.70,18.00,-11.40
9-June-2025,887.50,887.50,874.55,878.50,879.790078037904124860,80730,2690,71025453.00,30589,37.89,12.95,-9.00
6-June-2025,827.95,884.30,822.40,880.00,865.178839401750518765,557092,12708,481984210.00,139434,25.03,61.90,52.05
5-June-2025,806.05,830.50,805.20,825.45,820.229264529012639843,176268,5686,144580172.00,74957,42.52,25.30,19.40
4-June-2025,811.40,812.15,795.90,803.60,801.961482999392835458,52704,1304,42266578.00,12785,24.26,16.25,-7.80
3-June-2025,816.70,816.70,801.50,804.50,808.405239117591965533,69401,2802,56104132.00,13971,20.13,15.20,-12.20
2-June-2025,801.05,814.40,790.00,810.50,803.475038630690597884,84130,2638,67596355.00,34206,40.66,24.40,9.45
30-May-2025,794.85,802.80,790.00,797.25,797.010571912454403335,153520,4078,122357063.00,49794,32.43,12.80,2.40
29-May-2025,780.95,799.50,777.40,793.85,790.838229487295372480,210199,5581,166233405.00,75181,35.77,22.10,12.90
28-May-2025,774.00,780.50,768.00,771.25,774.606413803620836147,91802,3435,71110418.00,33408,36.39,12.50,-2.75
27-May-2025,777.25,783.15,771.25,774.20,777.476264110097417658,64670,2001,50279390.00,21088,32.61,11.90,-3.05
26-May-2025,784.20,790.50,775.25,777.25,781.499273607748184019,86730,2453,67779432.00,35246,40.64,15.25,-6.95
23-May-2025,776.05,778.95,770.40,776.00,774.956640343430136635,624290,3605,483797681.00,51491,8.25,8.55,-0.05
22-May-2025,774.20,779.40,765.45,776.05,774.046243168235915073,176199,5463,136386174.00,77749,44.13,13.95,1.85
21-May-2025,759.05,778.40,748.50,775.35,766.289512927641033544,480134,9138,367921649.00,141736,29.52,29.90,16.30
20-May-2025,752.45,783.00,743.00,753.60,765.830825111290350518,1327833,18534,1016895442.00,426945,32.15,40.00,1.15
19-May-2025,719.00,739.00,714.75,737.40,731.782188918251278221,278512,6467,203810121.00,112277,40.31,24.25,18.40
16-May-2025,711.95,723.00,705.30,715.95,714.730080814478576539,170514,5360,121871485.00,70960,41.62,17.70,4.00
15-May-2025,690.15,711.90,686.55,709.40,702.856220530980376812,204452,5366,143700360.00,106423,52.05,25.35,19.25
14-May-2025,679.35,699.00,677.80,689.25,691.719027927571499027,184513,4672,127631153.00,,,21.20,9.90
13-May-2025,676.80,684.55,675.00,677.90,678.190149239377734810,1580548,3090,1071912084.00,1477766,93.50,9.55,1.10
12-May-2025,655.80,682.40,655.00,680.75,670.781484640982485263,130119,3880,87281416.00,27127,20.85,27.40,24.95
9-May-2025,641.05,650.45,618.15,631.50,631.102415925568175509,180138,7684,113685527.00,54022,29.99,32.30,-9.55
8-May-2025,679.05,686.70,648.35,655.25,668.728413746314223834,76646,3716,51255358.00,26424,34.48,38.35,-23.80
7-May-2025,666.45,681.65,665.70,679.70,675.032960909420188905,35891,1454,24227608.00,6841,19.06,15.95,13.25
6-May-2025,692.55,697.50,673.00,676.70,683.916873643074250976,57575,2723,39376514.00,21032,36.53,24.50,-15.85
5-May-2025,694.60,698.90,683.40,693.65,691.262122480030429821,65725,2029,45433203.00,20627,31.38,15.50,-0.95
2-May-2025,674.65,692.80,673.00,686.85,685.351846680677826604,68041,2399,46632025.00,21690,31.88,19.80,12.20
30-April-2025,655.20,685.00,655.20,673.75,676.428486552331891701,301279,6990,203793698.00,97016,32.20,29.80,18.55
29-April-2025,664.40,670.90,655.55,658.90,661.692912657290895632,75656,2866,50061039.00,30024,39.68,15.35,-5.50
28-April-2025,655.75,665.00,653.45,664.15,661.438641932096604830,471405,2239,311805483.00,419535,89.00,11.55,8.40
25-April-2025,680.55,686.00,649.00,653.45,659.555244976210297325,164567,5344,108541028.00,59569,36.20,37.00,-27.10
24-April-2025,685.20,689.50,678.25,680.55,683.109115802209698474,94221,3058,64363224.00,42839,45.47,11.25,-4.65
23-April-2025,690.00,696.15,679.20,687.70,687.641948953739326264,85256,3016,58625602.00,26306,30.86,16.95,-2.30
22-April-2025,676.70,692.75,668.45,684.95,683.962358465558374673,158442,5277,108368364.00,65003,41.03,24.30,8.25
21-April-2025,685.05,688.00,667.20,676.25,675.671108702279733071,147605,4359,99732434.00,47191,31.97,20.80,-8.80
17-April-2025,657.00,673.00,656.60,669.80,665.872047982006747469,120045,4162,79934610.00,50765,42.29,16.40,12.80
16-April-2025,663.00,665.00,652.10,656.60,656.802545494529660783,72756,2117,47786326.00,25123,34.53,12.90,-6.40
15-April-2025,632.20,663.75,631.80,662.65,655.253238669519548725,257050,6285,168432845.00,71832,27.94,31.95,30.45
11-April-2025,626.85,632.35,618.00,623.75,625.541918649019012530,121867,4480,76232917.00,37256,30.57,14.35,-3.10
9-April-2025,615.55,624.45,607.50,613.05,615.454198645938569640,66319,3513,40816307.00,22499,33.93,16.95,-2.50
